key,name,iata-code,operational-scope,city,country,website,email,contact-phone
airport-14,John F. Kennedy International Airport,AAO,INTERNATIONAL,New York,USA,https://www.jfkairport.com,info@jfkairport.com,+12125551234
airport-15,John F. Kennedy International Airport,AAP,INTERNATIONAL,New York,USA,https://www.jfkairport.com,info@jfkairport.com,+12125551234
# operational-scope variations
airport-16,John F. Kennedy International Airport,AAQ,INTERNATIONAL,New York,USA,https://www.jfkairport.com,info@jfkairport.com,+12125551234
airport-17,John F. Kennedy International Airport,AAR,DOMESTIC,New York,USA,https://www.jfkairport.com,info@jfkairport.com,+12125551234
airport-18,John F. Kennedy International Airport,AAS,REGIONAL,New York,USA,https://www.jfkairport.com,info@jfkairport.com,+12125551234
# city variations
airport-19,John F. Kennedy International Airport,AAT,INTERNATIONAL,L,USA,https://www.jfkairport.com,info@jfkairport.com,+12125551234
airport-20,John F. Kennedy International Airport,AAU,INTERNATIONAL,Lo,USA,https://www.jfkairport.com,info@jfkairport.com,+12125551234
airport-21,John F. Kennedy International Airport,AAV,INTERNATIONAL,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL,USA,https://www.jfkairport.com,info@jfkairport.com,+12125551234
airport-22,John F. Kennedy International Airport,AAW,INTERNATIONAL,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL,USA,https://www.jfkairport.com,info@jfkairport.com,+442087600000
airport-23,John F. Kennedy International Airport,AAX,INTERNATIONAL,洛伦·伊普森,USA,https://www.jfkairport.com,info@jfkairport.com,+12125551234
airport-24,John F. Kennedy International Airport,AAY,INTERNATIONAL,โลเร็ม อิปซัม,USA,https://www.jfkairport.com,info@jfkairport.com,+12125551234
airport-25,John F. Kennedy International Airport,AAZ,INTERNATIONAL,لوريم إيبسوم,USA,https://www.jfkairport.com,info@jfkairport.com,+12125551234
airport-26,John F. Kennedy International Airport,ABA,INTERNATIONAL,<script>alert('Hacked');</script>,USA,https://www.jfkairport.com,info@jfkairport.com,+12125551234
airport-27,John F. Kennedy International Airport,ABB,INTERNATIONAL,<marquee>Malicious</marquee>,USA,https://www.jfkairport.com,info@jfkairport.com,+12125551234
airport-28,John F. Kennedy International Airport,ABC,INTERNATIONAL,' OR '1'='1,USA,https://www.jfkairport.com,info@jfkairport.com,+12125551234
# country variations
airport-29,John F. Kennedy International Airport,ABD,INTERNATIONAL,New York,F,https://www.jfkairport.com,info@jfkairport.com,+12125551234
airport-30,John F. Kennedy International Airport,ABE,INTERNATIONAL,New York,FR,https://www.jfkairport.com,info@jfkairport.com,+12125551234
airport-31,John F. Kennedy International Airport,ABF,INTERNATIONAL,New York,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC,https://www.jfkairport.com,info@jfkairport.com,+12125551234
airport-32,John F. Kennedy International Airport,ABG,INTERNATIONAL,New York,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC,https://www.jfkairport.com,info@jfkairport.com,+12125551234
airport-33,John F. Kennedy International Airport,ABH,INTERNATIONAL,New York,España,https://www.jfkairport.com,info@jfkairport.com,+12125551234
airport-34,John F. Kennedy International Airport,ABI,INTERNATIONAL,New York,<script>alert('Hacked');</script>,https://www.jfkairport.com,info@jfkairport.com,+12125551234
airport-35,John F. Kennedy International Airport,ABJ,INTERNATIONAL,New York,DROP TABLE countries;,https://www.jfkairport.com,info@jfkairport.com,+12125551234
airport-36,John F. Kennedy International Airport,ABK,INTERNATIONAL,New York,洛伦·伊پ森,https://www.jfkairport.com,info@jfkairport.com,+12125551234
airport-37,John F. Kennedy International Airport,ABL,INTERNATIONAL,New York,โลเร็ม อิปซัม,https://www.jfkairport.com,info@jfkairport.com,+12125551234
airport-38,John F. Kennedy International Airport,ABM,INTERNATIONAL,New York,لوريم إيبسوم,https://www.jfkairport.com,info@jfkairport.com,+12125551234
airport-39,John F. Kennedy International Airport,ABN,INTERNATIONAL,New York,<marquee>Malicious</marquee>,https://www.jfkairport.com,info@jfkairport.com,+12125551234
airport-40,John F. Kennedy International Airport,ABO,INTERNATIONAL,New York,' OR '1'='1,https://www.jfkairport.com,info@jfkairport.com,+12125551234
# website variations
airport-41,John F. Kennedy International Airport,ABP,INTERNATIONAL,New York,USA,http://lorem.com/ipsumhttp://lorem.com/ipsum,info@jfkairport.com,+12125551234
airport-42,John F. Kennedy International Airport,ABQ,INTERNATIONAL,New York,USA,ftp://a,info@jfkairport.com,+12125551234
airport-43,John F. Kennedy International Airport,ABR,INTERNATIONAL,New York,USA,ftp://a.b,info@jfkairport.com,+12125551234
airport-44,John F. Kennedy International Airport,ABS,INTERNATIONAL,New York,USA,"http://www.lorem-ipsum.org/dolor/sit/amet,/consectetur/adipiscing/elit,/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/aute/",info@jfkairport.com,+12125551234
airport-45,John F. Kennedy International Airport,ABT,INTERNATIONAL,New York,USA,"http://www.lorem-ipsum.org/dolor/sit/amet,/consectetur/adipiscing/elit,/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/aute/X",info@jfkairport.com,+12125551234
airport-46,John F. Kennedy International Airport,ABU,INTERNATIONAL,New York,USA,http://example.org/a,info@jfkairport.com,+12125551234
# email variations
airport-47,John F. Kennedy International Airport,ABV,INTERNATIONAL,New York,USA,https://www.jfkairport.com,acme@lorem-ipsum.org,+12125551234
airport-48,John F. Kennedy International Airport,ABW,INTERNATIONAL,New York,USA,https://www.jfkairport.com,a@b.e,+12125551234
airport-49,John F. Kennedy International Airport,ABX,INTERNATIONAL,New York,USA,https://www.jfkairport.com,a@b.es,+12125551234
airport-50,John F. Kennedy International Airport,ABY,INTERNATIONAL,New York,USA,https://www.jfkairport.com,a@b.esx,+12125551234
airport-51,John F. Kennedy International Airport,ABZ,INTERNATIONAL,New York,USA,https://www.jfkairport.comhttps://www.jfkairport.com,lorem-ipsum@dolor.sit.amet.consectetur.adipiscing.elit.sed.do.eiusmod.tempor.incididunt.ut.labore.et.dolore.magna.aliqua.Ut.enim.ad.minim.veniam.quis.nostrud.exercitation.ullamco.laboris.nisi.ut.aliquip.ex.ea.commodo.consequat.duis.aute.irure.doloris.edu,+12125551234
airport-52,John F. Kennedy International Airport,ACA,INTERNATIONAL,New York,USA,https://www.jfkairport.com,lorem-ipsum@dolor.sit.amet.consectetur.adipiscing.elit.sed.do.eiusmod.tempor.incididunt.ut.labore.et.dolore.magna.aliqua.Ut.enim.ad.minim.veniam.quis.nostrud.exercitation.ullamco.laboris.nisi.ut.aliquip.ex.ea.commodo.consequat.duis.aute.irure.dolor.es.org,+12125551234
# contact-phone variations
airport-53,John F. Kennedy International Airport,ACB,INTERNATIONAL,New York,USA,https://www.jfkairport.com,info@jfkairport.com,+123456
airport-54,John F. Kennedy International Airport,ACC,INTERNATIONAL,New York,USA,https://www.jfkairport.com,info@jfkairport.com,+1234567
airport-55,John F. Kennedy International Airport,ACD,INTERNATIONAL,New York,USA,https://www.jfkairport.com,info@jfkairport.com,+123456789012345
airport-56,John F. Kennedy International Airport,ACE,INTERNATIONAL,New York,USA,https://www.jfkairport.com,info@jfkairport.com,+12345678901234
airport-57,John F. Kennedy International Airport,ACF,INTERNATIONAL,New York,USA,https://www.jfkairport.com,info@jfkairport.com,987654321
airport-58,John F. Kennedy International Airport,ACG,INTERNATIONAL,New York,USA,https://www.jfkairport.com,info@jfkairport.com,""
